"Date","Price","Open","High","Low","Vol.","Change %"
"May 22","759.63","860.60","954.32","620.57","29.33M","-12.76%"
"Apr 22","870.76","1,081.15","1,152.87","822.06","29.38M","-19.19%"
"Mar 22","1,077.60","869.68","1,114.77","756.04","576.48M","23.80%"
"Feb 22","870.43","935.21","947.77","700.00","463.60M","-7.08%"
"Jan 22","936.72","1,147.75","1,208.00","792.01","639.09M","-11.36%"
"Dec 21","1,056.78","1,160.69","1,172.84","886.12","510.21M","-7.69%"
"Nov 21","1,144.76","1,145.00","1,243.49","978.60","648.53M","2.76%"
"Oct 21","1,114.00","778.40","1,115.21","763.59","528.93M","43.65%"
"Sep 21","775.48","734.08","799.00","708.85","390.06M","5.40%"
"Aug 21","735.72","700.00","740.39","648.84","381.59M","7.06%"
"Jul 21","687.20","683.92","700.00","620.46","448.49M","1.10%"
"Jun 21","679.70","627.80","697.62","571.22","519.92M","8.71%"
"May 21","625.22","703.80","706.00","546.98","625.18M","-11.87%"
"Apr 21","709.44","688.37","780.79","659.42","678.58M","6.21%"
"Mar 21","667.93","690.11","721.11","539.49","942.68M","-1.12%"
"Feb 21","675.50","814.29","880.50","619.00","522.94M","-14.87%"
"Jan 21","793.53","719.46","900.40","717.19","706.02M","12.45%"
"Dec 20","705.67","597.59","718.72","541.21","1.20B","24.33%"
"Nov 20","567.60","394.00","607.80","392.30","782.74M","46.27%"
"Oct 20","388.04","440.76","465.90","379.11","833.91M","-9.55%"
"Sep 20","429.01","502.14","502.49","329.88","1.74B","-13.91%"
"Aug 20","498.32","289.84","500.14","273.00","1.56B","74.15%"
"Jul 20","286.15","216.60","359.00","216.10","1.89B","32.50%"
"Jun 20","215.96","171.60","217.54","170.82","1.28B","29.32%"
"May 20","167.00","151.00","168.66","136.61","1.36B","6.79%"
"Apr 20","156.38","100.80","173.96","89.28","1.91B","49.22%"
"Mar 20","104.80","142.25","161.40","70.10","2.11B","-21.56%"
"Feb 20","133.60","134.74","193.80","122.30","2.37B","2.68%"
"Jan 20","130.11","84.90","130.60","84.34","2.04B","55.50%"
"Dec 19","83.67","65.88","87.06","65.45","1.04B","26.79%"
"Nov 19","65.99","63.26","72.24","61.85","789.46M","4.78%"
"Oct 19","62.98","48.30","68.17","44.86","1.18B","30.75%"
"Sep 19","48.17","44.82","50.70","43.67","682.82M","6.76%"
"Aug 19","45.12","48.53","48.90","42.20","670.52M","-6.62%"
"Jul 19","48.32","46.04","53.21","44.44","996.86M","8.12%"
"Jun 19","44.69","37.10","46.95","35.40","1.07B","20.69%"
"May 19","37.03","47.77","51.67","36.82","1.41B","-22.43%"
"Apr 19","47.74","56.52","59.23","46.23","1.15B","-14.70%"
"Mar 19","55.97","61.39","61.43","50.89","1.07B","-12.52%"
"Feb 19","63.98","61.08","64.85","57.75","642.75M","4.20%"
"Jan 19","61.40","61.22","70.40","55.86","878.30M","-7.75%"
"Dec 18","66.56","72.00","75.90","58.82","732.26M","-5.05%"
"Nov 18","70.10","67.65","73.35","65.00","665.10M","3.91%"
"Oct 18","67.46","61.15","69.43","49.55","1.43B","27.40%"
"Sep 18","52.95","59.39","62.99","50.45","980.38M","-12.23%"
"Aug 18","60.33","59.60","77.49","57.64","1.39B","1.17%"
"Jul 18","59.63","72.01","72.96","57.23","861.79M","-13.06%"
"Jun 18","68.59","57.17","74.75","56.77","1.07B","20.44%"
"May 18","56.95","58.70","62.60","54.68","777.89M","-3.11%"
"Apr 18","58.78","51.25","61.90","48.92","951.73M","10.43%"
"Mar 18","53.23","69.00","69.73","49.64","786.34M","-22.42%"
"Feb 18","68.61","70.20","72.00","58.95","545.95M","-3.18%"
"Jan 18","70.86","62.40","72.10","61.14","621.36M","13.79%"
"Dec 17","62.27","61.09","69.49","60.00","549.42M","0.81%"
"Nov 17","61.77","66.45","66.52","58.53","744.06M","-6.85%"
"Oct 17","66.31","68.50","72.60","63.33","615.18M","-2.80%"
"Sep 17","68.22","71.22","77.92","67.08","557.63M","-4.16%"
"Aug 17","71.18","64.60","74.00","62.24","684.71M","10.03%"
"Jul 17","64.69","74.05","74.27","60.63","908.20M","-10.55%"
"Jun 17","72.32","68.80","77.40","66.84","929.76M","6.04%"